Date,High,Low,Open,Close,Volume,Adj Close
2014-01-01,53.70000076293945,51.875,53.150001525878906,52.13750076293945,1736524.0,29.61326789855957
2014-01-02,53.04999923706055,51.275001525878906,52.724998474121094,51.45000076293945,3701240.0,29.222774505615234
2014-01-03,51.8125,50.650001525878906,51.45000076293945,50.86249923706055,1218660.0,28.889080047607422
2014-01-06,51.625,50.75,51.375,51.13750076293945,4020524.0,29.045278549194336
2014-01-07,51.25,49.525001525878906,51.0,49.9375,3689908.0,28.363698959350586
2014-01-08,50.587501525878906,48.75,49.9375,48.875,4960108.0,27.76021385192871
2014-01-09,50.1875,48.4375,49.17499923706055,49.712501525878906,4096204.0,28.235902786254883
2014-01-10,50.900001525878906,49.88750076293945,50.099998474121094,50.17499923706055,3498412.0,28.498600006103516
2014-01-13,52.224998474121094,50.400001525878906,50.474998474121094,51.837501525878906,3114368.0,29.442869186401367
2014-01-14,52.099998474121094,50.962501525878906,51.375,51.525001525878906,1665868.0,29.26537322998047
2014-01-15,52.5,51.287498474121094,51.287498474121094,52.38750076293945,1560932.0,29.75526237487793
2014-01-16,53.25,52.337501525878906,52.51250076293945,53.0625,1942456.0,30.13865089416504
2014-01-17,56.974998474121094,53.5,53.5,56.275001525878906,13193296.0,31.96329689025879
2014-01-20,56.537498474121094,55.04999923706055,56.0,56.1875,3537520.0,31.913602828979492
2014-01-21,56.974998474121094,55.70000076293945,56.25,56.275001525878906,1509688.0,31.96329689025879
2014-01-22,57.474998474121094,56.375,56.625,57.1875,1524688.0,32.48158264160156
2014-01-23,57.650001525878906,56.662498474121094,57.13750076293945,56.98749923706055,1858332.0,32.367984771728516
2014-01-24,57.275001525878906,56.275001525878906,56.75,56.962501525878906,1337552.0,32.353790283203125
2014-01-27,56.79999923706055,55.375,56.25,55.900001525878906,1651564.0,31.75030517578125
2014-01-28,56.375,55.26250076293945,56.0,55.92499923706055,1253444.0,31.764501571655273
2014-01-29,59.875,55.900001525878906,56.0,58.900001525878906,5146404.0,33.45425796508789
2014-01-30,59.712501525878906,57.875,58.5,59.224998474121094,5052316.0,33.638851165771484
2014-01-31,61.75,58.42499923706055,59.92499923706055,61.337501525878906,3365544.0,34.838714599609375
2014-02-03,62.224998474121094,59.974998474121094,61.25,61.275001525878906,1918428.0,34.8032112121582
2014-02-04,61.412498474121094,60.275001525878906,61.412498474121094,60.70000076293945,1310732.0,34.476627349853516
2014-02-05,61.0,58.95000076293945,60.375,59.525001525878906,1467896.0,33.80924606323242
2014-02-06,62.0,59.0,59.974998474121094,61.599998474121094,2941472.0,34.98781204223633
2014-02-07,62.412498474121094,61.01250076293945,62.0,61.51250076293945,1548564.0,34.9381103515625
2014-02-10,62.6875,60.875,61.5,62.38750076293945,1330980.0,35.43510055541992
2014-02-11,64.86250305175781,61.8125,62.73749923706055,64.5999984741211,3606216.0,36.69176483154297
2014-02-12,65.01249694824219,62.79999923706055,65.0,64.26249694824219,2985460.0,36.500064849853516
